,Date,ID,url,username,source,location,tweet,num of likes,num of _retweet
69,2022-10-07 21:51:42+00:00,1578503358838890496,https://twitter.com/NomadAlgerian/status/1578503358838890496,NomadAlgerian,Twitter Web App,Africa,Nestle Gloria etc.. sont dans de beaux draps https://t.co/2S63BNqaTO,0,0
70,2022-10-07 21:07:23+00:00,1578492207174062080,https://twitter.com/JeanLucG11/status/1578492207174062080,JeanLucG11,Twitter for Android,,"@Jade_EM2022 Votre Sérénité, je vais vous demander de vous concentrer soigneusement... Voilà ! Vous êtes concentré ?
- Je suis concentré.
- Il est concentré comme on dit chez Nestlé... parfait Votre Sérénité, concentrez-vous bien, vous êtes en transe ?
- Oui, je suis en transe napolitaine. https://t.co/37knlBZMjK",1,0
71,2022-10-07 19:18:48+00:00,1578464880788590592,https://twitter.com/bluemint5011/status/1578464880788590592,bluemint5011,Twitter for Android,🇨🇵,@Generations7080 @Nestle @NestleFr Oui on avait des carte animalière dedans,0,0
72,2022-10-07 18:32:47+00:00,1578453300411670528,https://twitter.com/zazafox01/status/1578453300411670528,zazafox01,Twitter for Android,Ain - France,Nestlé est un énorme pollueur et l'huile de palme n'est pas vegan https://t.co/Jx0izcDGaO,4,2
73,2022-10-07 17:11:42+00:00,1578432895295053824,https://twitter.com/PapassPaulson/status/1578432895295053824,PapassPaulson,Twitter for Android,,"@EmmanuelMacron @BIGEurope C bien furniquet on s'en cogne.
Par contre le pognon de votre deal a 12 MILLIARDS d'euros de Nestlé/Pfizer avant de quitter Rothschild pour la politique il est à Jersey ou au Delaware ? https://t.co/0FB29EWBib https://t.co/65uFiHwRPh",0,0
74,2022-10-07 15:25:34+00:00,1578406183920373760,https://twitter.com/DianaMouret/status/1578406183920373760,DianaMouret,dlvr.it,Paris,Contaminations de pizzas Buitoni et de chocolats Kinder: des plaintes déposées contre Nestlé et Ferrero - Libération: Contaminations de pizzas Buitoni et de chocolats Kinder: des plaintes déposées contre Nestlé et Ferrero  Libération https://t.co/lzyC7auMje https://t.co/rjf9kRwUEB,0,0
75,2022-10-07 13:40:05+00:00,1578379639675928576,https://twitter.com/CerveauxNon/status/1578379639675928576,CerveauxNon,Hypefury,"Ile-de-France, France","Pepsico est en deuxième position, Unilever et Nestlé se partagent la troisième et quatrième place.",3,0
76,2022-10-07 13:38:28+00:00,1578379231297503234,https://twitter.com/SebastienGirre/status/1578379231297503234,SebastienGirre,Twitter for Android,,@EmmanuelMacron Du torche cul mensonge t bon qu a sa tocard .y sont ou les million que ta toucher sur alstom la vente entre Nestlé et pfizee .,3,0
77,2022-10-07 13:20:17+00:00,1578374656637403137,https://twitter.com/reymondin/status/1578374656637403137,reymondin,Twitter for iPhone,"Pully, Suisse","@Sebeich Je trouve ça moins débile. Je me souviens dans les années 80-90 au siège de Nestlé en Suisse, un jeune homme avait défendu l’idée que des économies d’énergies importantes pouvaient être réalisées en éteignant un luminaire sur deux dans le parking souterrain des employés.",0,0
78,2022-10-07 12:01:48+00:00,1578354906448044032,https://twitter.com/Taylorwriter2/status/1578354906448044032,Taylorwriter2,WordPress.com,$,Evaluate 11 Short Paper Competitive Corporations Visti Following Sites Coca Cola Nestlé Comp https://t.co/eYfY3i2dlJ,0,0
79,2022-10-07 11:33:39+00:00,1578347819743686657,https://twitter.com/LimasTv/status/1578347819743686657,LimasTv,Twitter Web App,Chateau de la Princesse Peach,"#Nestlé #Toad #SuperMario64
Nestlé est de retour.........en train de Dormir xd https://t.co/Gxe1vrutkz",1,0
80,2022-10-07 11:11:05+00:00,1578342140387594241,https://twitter.com/zeeprv1/status/1578342140387594241,zeeprv1,Twitter for iPhone,"London, United Kingdom","@Mr_Basketeur Franchement la hausse des prix tu les ressens sur la bouffe du matin, lait (10e???!!!!!!) le chocolat en poudre, les céréales nestle, le nutella, la viande, les oeufs et la farine/le pain",0,0
81,2022-10-07 10:02:49+00:00,1578324960090562560,https://twitter.com/nidr_f/status/1578324960090562560,nidr_f,Twitter Web App,France,"@JusteMilieu3 Macron est en guerre contre tout ce qui ne l'aime pas.
Le souci, c'est que maintenant, ça fait quand même un paquet de monde.
Quelque soit l personne que je croise, il n'y aplus personne qui peut le saquer.

Point commun entre la France et Nestlé : le président, c'est bébé.",2,1
82,2022-10-07 09:34:37+00:00,1578317865718992896,https://twitter.com/2030Agenda21/status/1578317865718992896,2030Agenda21,Twitter Web App,,"Ce ne serait pas étonnant que vittel, pellegrino, perrier (nestlé) ou evian (danone) vous vendent de l'eau du lavabo, embouteillée 😂🤣 https://t.co/0wFWR6LBK8",10,3
83,2022-10-07 09:10:38+00:00,1578311828307726336,https://twitter.com/LaMenagerieuh/status/1578311828307726336,LaMenagerieuh,Twitter for iPhone,Fond du trou ,"@Hudson_1312 @VaneFillubie @UsulduFutur Bah si t’es PDG de Nestlé, rien ne t’empêche de prendre ton jet pour faire Vevey-Saint Moritz et d’y installer ton élevage, allant ainsi circuit et plan de vol courts.",2,0
84,2022-10-07 09:05:31+00:00,1578310540442865664,https://twitter.com/VaneFillubie/status/1578310540442865664,VaneFillubie,Twitter for Android,Croatan,"@LaMenagerieuh @Hudson_1312 @UsulduFutur J'ai souvenir d'un reportage sur un ancien PDG de Nestlé, et pour s'occuper pendant sa retraite il s'était acheté un élevage d'esturgeon en Suisse pour fabriquer du caviar local ecoresponsable et tout. 🤣",2,0
85,2022-10-07 08:31:49+00:00,1578302061380513793,https://twitter.com/SRI_France/status/1578302061380513793,SRI_France,Twitter Web App,Paris,"@tinabeuchler #Nestlé “chaque pays &amp; chaque agence (...) utilise 1 calculateur d’émissions carbone différent. Ns avons besoin d'outils + précis, + standardisés et + proches ds autres outils de suivi des réduction d’émission utilisés (...) ds l’entreprise” https://t.co/c4n4hB6XPj",0,1
86,2022-10-07 08:26:11+00:00,1578300645295067136,https://twitter.com/JuxieLive/status/1578300645295067136,JuxieLive,Twitter Web App,Alsace,"Franchement, pour du soluble maison, le cappuccino Nestlé à la vanille bah c'est pas mal ! 

Quand je termine je test celui au chocolat ou à la noisette ! https://t.co/DGSnY6F8Cf",1,0
87,2022-10-07 07:35:47+00:00,1578287960717336578,https://twitter.com/ModJenn/status/1578287960717336578,ModJenn,Twitter Web App,"France, Suisse, AURA","« Comment Nestlé se prépare à des achats médias décarbonés »
https://t.co/uAjqbUxrC6 via @INfluencialemag #marketing",0,0
88,2022-10-07 06:30:06+00:00,1578271429627363329,https://twitter.com/payoff_ch/status/1578271429627363329,payoff_ch,payoff.ch,Zürich,New product: VIGLTQ @Leonteq_News Barrier Reverse Convertible on Nestlé / Novartis / Roche GS https://t.co/towieDC5zn,0,0
89,2022-10-07 05:49:21+00:00,1578261176139468801,https://twitter.com/ConDePresident/status/1578261176139468801,ConDePresident,Twitter for Android,,"@tprincedelamour @Dupont6938 Certainement les 2, sexuel et compte dans les paradis fiscaux alimenté lors de la vente de Pfizer à Nestle par Rothschild UK...",3,0
90,2022-10-06 21:04:23+00:00,1578129062639403031,https://twitter.com/_yo_an/status/1578129062639403031,_yo_an,Twitter for iPhone,Besançon / Montbéliard ,@SoHaard Ah c’est de nestle ?,0,0
91,2022-10-06 21:01:32+00:00,1578128346017169409,https://twitter.com/SoHaard/status/1578128346017169409,SoHaard,Twitter Web App,Paris/Lille,"@_yo_an oui, c'est une nouvelle marque Nestlé lancée l'année dernière !!",1,0
92,2022-10-06 20:41:53+00:00,1578123400832118784,https://twitter.com/patelhardik1988/status/1578123400832118784,patelhardik1988,Dynamic Signal,,2023 Nestlé USA Marketing Development Program - Applications Now Open! #emp https://t.co/vOL45Iqaan https://t.co/VW34YOcHXl,0,0
93,2022-10-06 20:01:34+00:00,1578113256765493249,https://twitter.com/JOURNALECO1/status/1578113256765493249,JOURNALECO1,Twitter Web App,,Nestlé lance le NESCAFÉ Plan 2030 https://t.co/1JJMnJ1EhB,0,0
94,2022-10-06 19:35:19+00:00,1578106647696007169,https://twitter.com/MadameKyoK/status/1578106647696007169,MadameKyoK,Twitter Web App,Saint Denis nécropole des Rois,"@BSolist @Sophie_Chapelle @bastamedia_ ça fait longtemps que nos choix se réduisent, ils savent très bien que ces initiatives, même si elles semblent marginales, génèrent de nouveaux modèles de sociétés librement choisis signant la fin de leur hégémonie : ex. Nestlé et biberon vs lait maternel
https://t.co/Nn3RIkf4pr",3,0
95,2022-10-06 18:10:59+00:00,1578085426526552097,https://twitter.com/el_batard/status/1578085426526552097,el_batard,Twitter for iPhone,Gotham,@himawariiz Fais moi des crêpes stp et rachète moi des nestle ptite céréale,0,0
96,2022-10-06 17:53:10+00:00,1578080943314817026,https://twitter.com/fenikkusunonik/status/1578080943314817026,fenikkusunonik,Twitter for iPhone,"Paris, France","@LeCachou63 Nestle a chuté en bourse suite au rebranding de tout ses produits à base de chocolat. « Les Tiedecapic au petit déjeuner ça ne fait pas rêver les enfants, on perd des clients » a ainsi déclaré leur CEO",1,0
97,2022-10-06 16:04:23+00:00,1578053565062516738,https://twitter.com/arphile1/status/1578053565062516738,arphile1,Twitter for iPhone,,"@Speedaille @LeGlobe_info Et toi ceux du capitalisme aux Tanzaniennes qui voient leurs gosses mourir parce que Nestlé leur a donné juste assez de lait en poudre pour qu’elles puissent plus allaiter, aux Indonésiens qui meurent parce que l’usine Nike rejette des produits toxiques dans la rivière du village",3,0
98,2022-10-06 15:10:16+00:00,1578039948590080002,https://twitter.com/LeyoshiV/status/1578039948590080002,LeyoshiV,Twitter for Android,Planète Terre,"Y'a que moi qui trouve ça marrant un forum composé des plus grands PDG du monde genre Nestlé, Total, Apple qui nous explique qu'on doit être plus éco responsables genre en allant au taf en trotinette ? @wef",0,0
99,2022-10-06 14:57:55+00:00,1578036838861656067,https://twitter.com/aptalumni/status/1578036838861656067,aptalumni,Twitter Web App,"Quai Voltaire, Paris","[NOMINATION] – Véronique FONTAINE-HEIM (PG 84) a été nommée directrice générale de la Coopérative céréalière @Vivescia 

#nestlé #nomination #agronome #étudiant #alumni #agroparistech #agroalimentaire https://t.co/o5STcaARi7",0,0
100,2022-10-06 14:32:13+00:00,1578030369885995009,https://twitter.com/BashiruOlawoye/status/1578030369885995009,BashiruOlawoye,Revive Social App,"Ohio, Columbus",Nestlé completes sale of French brand Mousline https://t.co/U3sk9cOCij,0,0
